timestamp,ergo_score,neck_angle_deg,shoulder_tilt_deg,torso_angle_deg,active_issues,classification
2026-04-22T18:21:48.987Z,100,172.1,169.0,,"","Excellent posture"
2026-04-22T18:21:51.195Z,97,174.0,180.0,177.7,"","Excellent posture"
2026-04-22T18:21:56.201Z,99,170.7,176.8,175.2,"","Excellent posture"
2026-04-22T18:22:01.201Z,99,167.9,171.0,174.9,"","Excellent posture"
2026-04-22T18:22:06.240Z,99,164.2,178.1,179.7,"","Excellent posture"
2026-04-22T18:22:11.241Z,99,166.8,177.6,179.5,"","Excellent posture"
2026-04-22T18:22:16.251Z,100,165.6,175.8,178.3,"","Excellent posture"
2026-04-22T18:22:21.199Z,100,173.7,177.5,179.8,"","Excellent posture"
2026-04-22T18:22:26.214Z,100,174.7,178.6,180.0,"","Excellent posture"
2026-04-22T18:22:31.235Z,100,166.4,174.4,177.9,"","Excellent posture"
2026-04-22T18:22:36.303Z,68,169.5,160.7,174.3,"Uneven shoulders; Torso lean / slouch","Multiple issues — correct now"
2026-04-22T18:22:41.253Z,81,174.6,161.1,175.1,"Uneven shoulders","Uneven shoulders"
2026-04-22T18:22:46.202Z,64,170.7,160.2,173.7,"Uneven shoulders; Torso lean / slouch","Multiple issues — correct now"
2026-04-22T18:22:51.199Z,63,169.2,165.4,172.9,"Uneven shoulders; Torso lean / slouch","Multiple issues — correct now"
2026-04-22T18:22:56.212Z,93,167.0,173.4,175.2,"","Excellent posture"
2026-04-22T18:23:01.239Z,93,171.6,175.4,176.4,"","Excellent posture"
2026-04-22T18:23:06.199Z,78,174.1,168.6,174.6,"Forward head posture","Mild forward head"
2026-04-22T18:23:11.200Z,93,163.7,176.1,176.6,"","Excellent posture"
2026-04-22T18:23:16.197Z,78,172.2,169.8,173.8,"Torso lean / slouch","Slouching risk"
2026-04-22T18:23:21.218Z,78,170.9,171.2,172.6,"Torso lean / slouch","Slouching risk"
2026-04-22T18:23:26.225Z,78,170.9,171.2,172.6,"Torso lean / slouch","Slouching risk"
2026-04-22T18:23:31.233Z,78,170.9,171.2,172.6,"Torso lean / slouch","Slouching risk"
2026-04-22T18:23:36.921Z,78,170.9,171.2,172.6,"Torso lean / slouch","Slouching risk"
2026-04-22T18:23:41.921Z,78,170.9,171.2,172.6,"Torso lean / slouch","Slouching risk"
2026-04-22T18:23:46.294Z,93,155.4,178.8,,"","Excellent posture"
